company_id,name,description,company_size,state,country,city,zip_code,address,url
14798,Butler University,"Butler University is a path to endless possibilities. Our experienced faculty and staff, outstanding facilities, and innovative programs all point to one transformative goal: giving students the tools to grow and excel personally and professionally in an ever-changing world. Based in Indianapolis–one of the heartland's largest and most dynamic cities–Butler has been named the No. 1 Regional University and Most Innovative School in the Midwest, according to U.S. News and World Report. Our approach to education is focused on lifetime learning and designed for both career success and personal fulfillment. Students learn by doing, whether in the lab, boardroom, the community, or across the globe. Perhaps most importantly at Butler, problems are never faced alone. Our commitment to student well-being provides mentoring, counseling, and support to enhance mind, body, and spirit–precisely what students need to realize their potential and discover their best selves.",5.0,in,US,Indianapolis,46208,4600 Sunset Ave,https://www.linkedin.com/school/butler-university/
46713,Galerie Candy and Gifts,"
GALERIE ® is the brainchild of Richard Ross, a creative entrepreneur with an unparalleled passion for candy. Our mission is to provide outstanding customer service while delivering fresh, innovative confectionery gifts of the highest quality and value. 

GALERIE® continues to be a design-driven enterprise, bringing more than 1,000 items to shelf every year. With licenses including Disney, Star Wars, LOL Surprise, ,Paw Patrol, Minions, Trolls, Peppa Pig, Marvel and Warner Brothers, and Partners like Hershey and Kellogg's our extensive seasonal and everyday offerings are perfect to give and receive!
",2.0,KY,US,Hebron,41048,3390 Langley Drive,https://www.linkedin.com/company/galerie
93456,PGAV Destinations,"PGAV Destinations creates business-results-oriented master plans, pilots in-depth industry research, and designs beautiful, innovative products for destinations around the world. 

Now in our fifth decade of practice, our thousands of projects in more than 30 states and five continents can be found thrilling, educating, and moving guests in zoos, museums, aquariums, theme parks, resorts, and deeply valuable historic sites. 

We believe in the power of leisure and travel experiences to enrich lives, enhance communities, and celebrate culture, nature, and heritage. That’s why our staff of more than 100 full-time artists¸ architects, storytellers, business strategists, designers, interpreters, planners, and more work in seamless integration to empower these destinations to realize their full potential. 

No other firm in the world integrates such a powerfully diverse team, insightful primary and secondary research, over five decades of international experience, start-to-finish strategic master plans and associated destination design, and deeply-impactful storytelling to open more completed projects in more locations for a greater variety of destinations. From the smallest non-for-profit to the world’s largest aquarium – we are there to enable clients to envision and achieve their goals.

We’re recognized for thinking deeply, planning carefully, and acting boldly on behalf of our lifelong clients, whom are growing by the minute. View here: http://tinyurl.com/cujbj82.",2.0,MO,US,St. Louis,63102,200 N. Broadway,https://www.linkedin.com/company/pgav-destinations
103060,LT Apparel Group,"LT Apparel Group is a New York-based, family-owned company founded in 1958, known for the design, manufacturing, and distribution of the highest quality children’s clothing. Its portfolio of brands includes adidas kids, Carhartt kids, and its owned brand, French Toast, the leader in schoolwear for kids. Its mission is to help make families’ lives more fulfilling with exceptional brands that give kids confidence at home, at school, and on the field. As a vertical supply chain organization, LT Apparel sources the best product to consistently offer the best value and quality for its customers. The company’s Responsible Sourcing Policy is a pledge to conduct business with integrity, openness, and respect.",3.0,NY,US,New York,10001,2 Park Avenue,https://www.linkedin.com/company/lt-apparel-group
166875,Washington State University,"Washington State University is a nationally recognized land-grant research university, founded in Pullman in 1890. WSU’s statewide system includes campuses in Pullman, Spokane, Everett, Tri-Cities and Vancouver, with extension and research offices in every county of the state, and a nationally ranked online program. 

WSU is well known for its programs in veterinary medicine, agriculture, engineering, architecture, global animal health, food science, plant science, business, human health, pharmacy, neuroscience, communications, biofuels, sleep, business, education, energy. And, WSU athletics teams compete in the NCAA’s Pac-12 Conference.",6.0,Washington,US,Pullman/Spokane/Tri-Cities/Vancouver/Everett/Global,99164,Pullman/Spokane/Tri-Cities/Vancouver/Everett/Global,https://www.linkedin.com/school/washington-state-university/
167757,The Job Network,"TheJobNetwork is a leading recruitment advertising network that connects employers and qualified talent across  hundreds of trusted local and niche publisher job sites that are powered by RealMatch, Inc. Over 150,000 trusted employers have advertised their job openings using RealMatch's technology to find and hire the best talent. ",2.0,NY,US,New York,10016,205 Lexington Ave.,https://www.linkedin.com/company/the-job-network
255252,Tracker,"We are Tracker, the industry-leading provider of people-centric recruitment software

✅ We offer a sophisticated ATS & CRM in one platform.

✅ You get everything you need to streamline workflows and recruit the best hires fast.

✅ Our unwavering, industry-leading support guarantees success from day one.

Our ATS & CRM recruitment software solution helps recruitment firms land the best hires, increase profitability, and achieve long-term growth by building extraordinary relationships.

We are recruiters at heart but in the uncanny position of being geekily obsessed with tech - a winning formula that has facilitated our success in the recruitment software space.

Tracker is dedicated to making the recruitment magic happen, whatever your industry. Our curious trouble-shooters are on a mission to reduce the workload of recruiters, unlock the power of recruiting teams, and make it easy for recruiters to find the right person for every job.

Since we set up (15+ years ago), our growth trajectory tells you a lot about us – we support our clients to succeed, and we now service over 5,000 happy, successful users! Everything about our software, including our approach to implementation and support, has been carefully curated to facilitate hiring triumphs, skyrocket the ambition of recruiters, and increase the profitability of recruiting firms.

We are all about pushing recruitment boundaries and we continually innovate to make hiring easier, faster, and better. Your success is our success, and we always keep sight of that.

Recruitment success comes first and foremost from building better relationships. We get that the true purpose of a good CRM is to develop and grow relationships. We also know that applicant tracking is essential to the hiring process. Our combined ATS & CRM has been developed from a recruitment industry insider’s perspective with a deep understanding that relationships matter.",2.0,California,US,San Diego,92130,3830 Valley Centre Dr,https://www.linkedin.com/company/tracker-rms
348976,ADEPT HRM Solutions,"ADEPT HRM Solutions provides senior-level management resources with efficient, cost-effective solutions that are tailored to meet your organization's unique objectives. We cover all of your human capital needs by helping you identify your current state and designing/implementing your future goals and strategy. Our consultants can work on-site or off-site and are available on a part-time, full-time, or project basis to meet your needs.",1.0,NC,US,Charlotte,28277,15101 Ballantyne Country Club Dr,https://www.linkedin.com/company/adept-hrm-solutions
721189,Children's Nebraska,"At Children’s Nebraska, our mission is to improve the life of every child through exceptional care, advocacy, research and education. From primary to specialty care, and everything in between: We are here to provide excellent care for your child. 

As a freestanding, independent nonprofit hospital, we value innovation, collaboration, accountability, respect and excellence. We are the only full-service, pediatric health care center in Nebraska, providing expertise in primary care and more than 50 pediatric specialty services to children and families across a five-state region and beyond. Children’s is home to Nebraska’s only Level IV regional Neonatal Intensive Care Unit and the state’s only Level II Pediatric Trauma Center, and is recognized as a 2023-24 Best Children’s Hospital by U.S. News & World Report in the pediatric specialty of Pulmonology.

As an organization, we lead with a People First philosophy, defined by our commitment to fostering an environment of safety, trust and belonging. Children’s celebrates a diverse, inclusive environment where every team member can embrace their authentic selves and thrive personally and professionally. Wellbeing is a strategic priority, with programs and initiatives in place to support team members’ mental, social, emotional, physical and financial wellbeing. 

Children’s is named one of the top in-state employers in Nebraska by Forbes in 2023, and is the only healthcare system in Nebraska to be named a 2023-23 gold recipient of Mental Health America’s Bell Seal Award for Workplace Mental Health.

To learn more, visit ChildrensNebraska.org. ",5.0,NE,US,Omaha,68114,8200 Dodge Street,https://www.linkedin.com/company/childrensnebraska
766262,"Abrams Fensterman, LLP","Abrams Fensterman, LLP is a full-service law firm that provides exceptional legal advice, personalized representation, and cost-effective results to physicians, health care providers, major corporations, small businesses, individuals, and families throughout the United States. Our attorneys have extensive experience in a wide variety of areas of the law, including Health Law, Civil Litigation and Appeals, Divorce and Family Law, Corporate and Transactional Law, Commercial Real Estate Development & Health Care Finance, Mental Health Law, Estate Planning, Asset Protection and Estate Administration, Land Use And Zoning, Guardianship Law, Health Care Collection And Reimbursement Recovery, Real Estate Law, Elder Law, Criminal Law and Medical Malpractice Defense, Transportation Law, Intellectual Property and Entertainment law.
ATTORNEY ADVERTISING",2.0,New York,US,Lake Success,11042,3 Dakota Drive,https://www.linkedin.com/company/abrams-fensterman-llp
