industry_id,industry_name
4,Software Development
6,"Technology, Information and Internet"
8,Telecommunications
9,Law Practice
11,Business Consulting and Services
12,Biotechnology Research
13,Medical Practices
14,Hospitals and Health Care
15,Pharmaceutical Manufacturing
17,Medical Equipment Manufacturing
19,Retail Apparel and Fashion
22,Retail Groceries
23,Food and Beverage Manufacturing
24,Computers and Electronics Manufacturing
25,Manufacturing
27,Retail
31,Hospitality
32,Restaurants
34,Food and Beverage Services
40,Recreational Facilities
41,Banking
42,Insurance
43,Financial Services
44,Real Estate
45,Investment Banking
46,Investment Management
48,Construction
49,Wholesale Building Materials
50,Architecture and Planning
51,Civil Engineering
54,Chemical Manufacturing
61,Paper and Forest Product Manufacturing
68,Higher Education
69,Education Administration Programs
75,Government Administration
80,Advertising Services
88,Individual and Family Services
89,Religious Institutions
91,Consumer Services
92,Truck Transportation
93,Warehousing and Storage
94,Airlines and Aviation
96,IT Services and IT Consulting
99,Design Services
100,Non-profit Organizations
102,Strategic Management Services
104,Staffing and Recruiting
110,Events Services
122,Facilities Services
124,Wellness and Fitness Services
125,Alternative Medicine
126,Media Production
128,Leasing Non-residential Real Estate
129,Capital Markets
132,E-Learning Providers
133,Wholesale
137,Human Resources Services
139,Mental Health Care
142,Beverage Manufacturing
148,Government Relations Services
3089,Space Research and Technology
3202,Non-profit Organization Management
3207,"Health, Wellness & Fitness"
3231,Information Technology & Services
